key,auc,auprc,accuracy,precision_,recall,f1,mcc,brier,specificity,threshold,train_time,ms_per_mol,n_params,epochs_run,stopped_early
HIV_GIN_2_4444,0.575663564,0.154063653,0.969,0.625,0.1515,0.2439,0.2976,0.118218154,0.9969,0.9673,103.0178299,4.787420575,1388033,,
HIV_GIN_2_6666,0.671100207,0.145675635,0.953,0.2727,0.2812,0.2769,0.2527,0.129077837,0.9752,0.8367,103.4725327,4.736224401,1388033,,
HIV_GIN_2_8888,0.709021084,0.219995148,0.94,0.2683,0.2683,0.2683,0.237,0.071256585,0.9687,0.7287,100.2415693,4.953636078,1388033,,
HIV_GIN_2_314,0.644494962,0.108897734,0.913,0.1528,0.2973,0.2018,0.1708,0.25085476,0.9367,0.8039,101.9603162,4.804297496,1388033,,
HIV_GIN_2_271,0.638156142,0.198224295,0.973,0.5,0.1852,0.2703,0.2933,0.049658634,0.9949,0.8846,100.4795852,4.554221067,1388033,,
HIV_GIN_2_1618,0.761571276,0.172569692,0.968,0.3846,0.1724,0.2381,0.2432,0.177239373,0.9918,0.8291,103.7596159,4.652286346,1388033,,
HIV_GIN_2_1729,0.742536724,0.287567307,0.977,0.6364,0.2692,0.3784,0.4045,0.059806842,0.9959,0.8473,103.2191031,4.9219654,1388033,,
HIV_SchNet_2_42,0.688553146,0.211313642,0.958,0.2593,0.2414,0.25,0.2286,0.234442517,0.9794,0.7369,158.8013098,4.417600686,1643009,,
HIV_SchNet_2_123,0.731063034,0.235532017,0.955,0.3929,0.2821,0.3284,0.3102,0.08308918,0.9823,0.8612,160.5378416,4.767375075,1643009,,
HIV_SchNet_2_456,0.675144332,0.169883815,0.867,0.1567,0.5122,0.24,0.2296,0.143388912,0.8822,0.5659,159.6743946,4.739622718,1643009,,
HIV_SchNet_2_789,0.750793778,0.247288588,0.945,0.3621,0.5385,0.433,0.4141,0.058715891,0.9615,0.4874,160.1281099,4.650532227,1643009,,
HIV_SchNet_2_1024,0.543698285,0.056653217,0.898,0.1075,0.3448,0.1639,0.1498,0.201612294,0.9145,0.671,161.0462604,4.813952817,1643009,,
HIV_SchNet_2_2048,0.525315915,0.105984215,0.97,0.2857,0.1667,0.2105,0.2038,0.069968179,0.9898,0.9507,160.7969947,4.772955958,1643009,,
HIV_SchNet_2_3141,0.658790989,0.326791249,0.973,0.625,0.3226,0.4255,0.437,0.099423319,0.9938,0.9303,158.3830471,4.653928303,1643009,,
HIV_SchNet_2_9999,0.813375945,0.466389596,0.975,0.6364,0.4516,0.5283,0.5239,0.094074942,0.9917,0.9294,159.2032688,4.706470754,1643009,,
HIV_SchNet_2_7777,0.76263684,0.215446832,0.9399,0.3333,0.3636,0.3478,0.3167,0.161069244,0.9665,0.8177,160.6404765,4.72690373,1643009,,
HIV_SchNet_2_5555,0.657533889,0.137831982,0.9479,0.2273,0.125,0.1613,0.1433,0.250490874,0.9823,0.8468,159.13728,4.543334899,1643009,,
HIV_SchNet_2_1111,0.68526971,0.19611647,0.968,0.7143,0.1429,0.2381,0.3103,0.160103902,0.9979,0.902,158.0819671,4.77358593,1643009,,
HIV_SchNet_2_2222,0.719657798,0.296203199,0.964,0.4444,0.3636,0.4,0.3837,0.147733644,0.9845,0.7694,159.6574152,4.641914244,1643009,,
HIV_SchNet_2_3333,0.700014804,0.146425578,0.952,0.2903,0.2571,0.2727,0.2485,0.080007382,0.9772,0.8366,159.3370368,4.719833094,1643009,,
HIV_SchNet_2_4444,0.67985961,0.107869264,0.912,0.1429,0.3333,0.2,0.1776,0.126679078,0.9317,0.5974,161.2935741,4.663746321,1643009,,
HIV_SchNet_2_6666,0.711873709,0.224041869,0.96,0.3462,0.2812,0.3103,0.2916,0.07083685,0.9824,0.8699,162.2100513,4.639825476,1643009,,
HIV_SchNet_2_8888,0.69116712,0.184969767,0.952,0.3793,0.2683,0.3143,0.2949,0.166529134,0.9812,0.8866,159.7849541,4.80312577,1643009,,
HIV_SchNet_2_314,0.597794056,0.127588508,0.931,0.1667,0.2162,0.1882,0.1542,0.223716572,0.9585,0.6658,159.7412179,4.810586839,1643009,,
HIV_SchNet_2_271,0.658673062,0.093241152,0.942,0.122,0.1852,0.1471,0.1211,0.216864929,0.963,0.7279,158.5262787,4.79163565,1643009,,
HIV_SchNet_2_1618,0.697084963,0.157026179,0.965,0.3333,0.2069,0.2553,0.2455,0.237620726,0.9876,0.692,160.4120905,4.601227208,1643009,,
HIV_SchNet_2_1729,0.692742063,0.229608304,0.975,0.5455,0.2308,0.3243,0.3443,0.1667144,0.9949,0.8429,160.9150484,4.778525561,1643009,,
HIV_DimeNet_2_42,0.700035549,0.252623286,0.963,0.375,0.4138,0.3934,0.3749,0.06693884,0.9794,0.822,113.0829234,4.639286512,878849,,
HIV_DimeNet_2_123,0.779780983,0.282407634,0.9329,0.2941,0.5128,0.3738,0.3559,0.070936695,0.95,0.5936,116.5985487,4.729631437,878849,,
HIV_DimeNet_2_456,0.721941046,0.212990212,0.939,0.3276,0.4634,0.3838,0.3586,0.096804179,0.9593,0.8218,117.7850583,4.839953773,878849,,
HIV_DimeNet_2_789,0.830545105,0.333804015,0.957,0.4524,0.4872,0.4691,0.4471,0.042716254,0.9761,0.6209,116.5217333,4.707055938,878849,,
HIV_DimeNet_2_1024,0.817394084,0.261557406,0.943,0.2586,0.5172,0.3448,0.3395,0.051058635,0.9557,0.544,117.6908202,4.58682684,878849,,
HIV_DimeNet_2_2048,0.59545765,0.081840005,0.947,0.1778,0.3333,0.2319,0.2181,0.085922666,0.9621,0.887,117.7809436,4.605458881,878849,,
HIV_DimeNet_2_3141,0.768595041,0.309539218,0.966,0.4444,0.3871,0.4138,0.3974,0.095896251,0.9845,0.9601,116.9104848,4.740895802,878849,,
HIV_DimeNet_2_9999,0.839209028,0.318033204,0.966,0.4545,0.4839,0.4687,0.4514,0.054264329,0.9814,0.8506,117.2572401,4.646722992,878849,,
HIV_DimeNet_2_7777,0.776677772,0.301851417,0.9489,0.4054,0.3409,0.3704,0.3454,0.184156775,0.977,0.9616,116.086942,4.612029046,878849,,
HIV_DimeNet_2_5555,0.69468196,0.249138727,0.9419,0.3269,0.425,0.3696,0.3429,0.067031793,0.9635,0.6811,117.0374539,4.839821411,878849,,
HIV_DimeNet_2_1111,0.765500889,0.242765854,0.961,0.4167,0.2857,0.339,0.3256,0.211458415,0.9855,0.9134,116.1453497,4.725100291,878849,,
HIV_DimeNet_2_2222,0.770016609,0.250448371,0.958,0.3548,0.3333,0.3438,0.3222,0.079261415,0.9793,0.6876,116.6053629,4.71091466,878849,,
HIV_DimeNet_2_3333,0.655544041,0.163676613,0.964,0.4545,0.1429,0.2174,0.2408,0.065398447,0.9938,0.6497,116.8212826,4.633912494,878849,,
HIV_DimeNet_2_4444,0.697189057,0.121460934,0.93,0.2154,0.4242,0.2857,0.2692,0.098466754,0.9473,0.6872,118.8657513,4.50563841,878849,,
HIV_DimeNet_2_6666,0.667161674,0.192261273,0.96,0.3462,0.2812,0.3103,0.2916,0.072042011,0.9824,0.8965,118.484941,4.802370734,878849,,
HIV_DimeNet_2_8888,0.72723111,0.194417525,0.941,0.32,0.3902,0.3516,0.3228,0.137447506,0.9645,0.7384,117.8312967,4.673936051,878849,,
HIV_DimeNet_2_314,0.684039179,0.273521456,0.959,0.4333,0.3514,0.3881,0.3693,0.122541025,0.9823,0.8835,119.0950096,4.562685129,878849,,
HIV_DimeNet_2_271,0.656998211,0.285680661,0.975,0.5556,0.3704,0.4444,0.4415,0.068972856,0.9918,0.9864,118.3317952,4.80836981,878849,,
HIV_DimeNet_2_1618,0.776004266,0.218111353,0.959,0.3421,0.4483,0.3881,0.3708,0.04807771,0.9742,0.6744,116.6619697,4.712953727,878849,,
HIV_DimeNet_2_1729,0.729624072,0.284115998,0.979,1,0.1923,0.3226,0.4339,0.136231527,1,0.8125,116.8429499,4.655661363,878849,,
