key,pearson_r,mae,rmse,train_time,ms_per_mol,n_params,epochs_run,stopped_early,dataset,model,level_id,seed
QM9_D-MPNN_0_1024,0.7729718685150146,0.009276124648749828,0.01191045132808226,80.1619942188263,1.917061324723284,471041,46,1,QM9,D-MPNN,0,1024
QM9_D-MPNN_0_1111,0.846802294254303,0.008466891013085842,0.011226915880754137,99.43199920654297,1.9119942742225702,471041,57,1,QM9,D-MPNN,0,1111
QM9_D-MPNN_0_123,0.8358339071273804,0.009275409393012524,0.012347889856551643,121.43300175666809,1.964557058803717,471041,69,1,QM9,D-MPNN,0,123
QM9_D-MPNN_0_1618,0.8367151618003845,0.008168362081050873,0.010586164656692534,139.55800223350525,1.9025286163232416,471041,80,0,QM9,D-MPNN,0,1618
QM9_D-MPNN_0_1729,0.9257526397705078,0.008372053503990173,0.010712380399263761,140.6849992275238,1.8986636729659745,471041,80,0,QM9,D-MPNN,0,1729
QM9_D-MPNN_0_2048,0.8968142867088318,0.008727497421205044,0.011376953278488354,139.83899879455566,1.9184614119589174,471041,80,1,QM9,D-MPNN,0,2048
QM9_D-MPNN_0_2222,0.809756338596344,0.007918041199445724,0.010692657337158181,139.30699753761292,1.91359407417424,471041,80,0,QM9,D-MPNN,0,2222
QM9_D-MPNN_0_271,0.7996709942817688,0.007756968028843403,0.011561886140437898,139.42199850082397,1.9031269437941372,471041,80,0,QM9,D-MPNN,0,271
QM9_D-MPNN_0_314,0.8627660274505615,0.009181366302073002,0.013456996547767731,135.36300015449524,1.905927070578509,471041,77,1,QM9,D-MPNN,0,314
QM9_D-MPNN_0_3141,0.8338786363601685,0.008837253786623478,0.012298351479691922,139.33699679374695,1.93412887771111,471041,80,0,QM9,D-MPNN,0,3141
QM9_D-MPNN_0_3333,0.8397886753082275,0.008188691921532154,0.010765210183950515,139.74999809265137,1.9181297972914584,471041,80,0,QM9,D-MPNN,0,3333
QM9_D-MPNN_0_42,0.8539342284202576,0.009452677331864834,0.012597682378985786,140.5449981689453,1.9043624635553096,471041,80,0,QM9,D-MPNN,0,42
QM9_D-MPNN_0_4444,0.7801775932312012,0.012240358628332615,0.015469318942211941,89.58399939537048,1.9130608075236835,471041,51,1,QM9,D-MPNN,0,4444
QM9_D-MPNN_0_456,0.7650874853134155,0.00883845891803503,0.013431394143309332,140.99200081825256,1.9184786269279932,471041,80,0,QM9,D-MPNN,0,456
QM9_D-MPNN_0_5555,0.8452516794204712,0.009940805844962597,0.013735894832519323,110.82899570465088,1.9085958835498293,471041,63,1,QM9,D-MPNN,0,5555
QM9_D-MPNN_0_6666,0.7948771715164185,0.00916187185794115,0.012034822744758755,138.72599864006042,1.8953931308585856,471041,79,1,QM9,D-MPNN,0,6666
QM9_D-MPNN_0_7777,0.8318834900856018,0.00875890627503395,0.011073549069990666,140.54700016975403,1.9025268678037601,471041,80,0,QM9,D-MPNN,0,7777
QM9_D-MPNN_0_789,0.8053844571113586,0.009674238041043282,0.012924161683528867,68.40925860404968,1.899791038849408,471041,39,1,QM9,D-MPNN,0,789
QM9_D-MPNN_0_8888,0.8484064936637878,0.008286957629024982,0.01128757382637192,141.30699825286865,1.9037337277410697,471041,80,0,QM9,D-MPNN,0,8888
QM9_D-MPNN_0_9999,0.8744481801986694,0.008829817175865173,0.011609309621983971,141.14399909973145,1.9101657679227362,471041,80,0,QM9,D-MPNN,0,9999
QM9_D-MPNN_1_1024,0.7675901651382446,0.00927305594086647,0.011955110297014099,80.04798603057861,1.9050060935764044,471041,46,1,QM9,D-MPNN,1,1024
QM9_D-MPNN_1_1111,0.8663845062255859,0.007901051081717014,0.010433550938491114,139.45199966430664,1.9036623404593347,471041,80,0,QM9,D-MPNN,1,1111
